wavelength,amplitude
446.2744615384616,0.398
444.62769230769237,0.396
442.98092307692315,0.395
441.3341538461539,0.394
439.6873846153847,0.393
438.0406153846154,0.392
436.3938461538462,0.391
434.747076923077,0.390
433.10030769230775,0.389
431.4535384615385,0.388
429.8067692307693,0.387
428.1600000000001,0.386
426.5132307692308,0.385
424.8664615384616,0.384
423.21969230769236,0.383
421.57292307692313,0.382
419.9261538461539,0.381
418.2793846153847,0.381
416.63261538461546,0.380
414.9858461538462,0.378
413.33907692307696,0.377
411.69230769230774,0.376
410.0455384615385,0.376
408.3987692307693,0.374
406.75200000000007,0.373
405.10523076923084,0.372
403.45846153846156,0.371
401.81169230769234,0.370
400.1649230769231,0.369
398.5181538461539,0.368
396.87138461538467,0.367
395.22461538461545,0.367
393.5778461538462,0.366
391.931076923077,0.365
390.2843076923077,0.364
388.6375384615385,0.363
386.9907692307693,0.362
385.34400000000005,0.361
383.6972307692308,0.360
382.0504615384616,0.359
380.4036923076924,0.358
